"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_325","a circular economy approach towards water purification with concomitant biooil production through yeast-algal biorefinery and tailor-made biochar","biochar","1"
"ERO_472","biochar devices for water decontamination and pollutants detection","biochar","1"
"ERO_473","biochar devices for water decontamination and pollutants detection","biochar","1"
"ERO_623","decoding biochar-microbial interactions for microbial electrochemical technology","biochar","1"
"ERO_1019","a circular economy approach towards water purification with concomitant biooil production through yeast-algal biorefinery and tailor-made biochar","biochar","1"
"ERO_1112","use of co-pyrolised biochar in carbon-negative hydrogen production (hybeccs) from bio-organic wastes.","biochar","1"
"ERO_1125","biochar production from scottish forestry waste","biochar","1"
"ERO_1126","biochar production from scottish forestry waste","biochar","1"
"ERO_1180","bio-waste to biochar for the enhanced remediation of contaminated land (bio2char)","biochar","1"
"ERO_1184","production and characterization of biochar from food and waste prod.","biochar","1"
"ERO_1497","enteric methane-reducing biochar feed additives","biochar","1"
"ERO_1564","use of co-pyrolised biochar in carbon-negative hydrogen production (hybeccs) from bio-organic wastes.","biochar","1"
"ERO_1565","rice straw - biochar innovations","biochar","1"
"ERO_1566","biochar devices for water decontamination and pollutants detection","biochar","1"
"ERO_1567","biochar devices for water decontamination and pollutants detection","biochar","1"
"ERO_1568","biochar production from scottish forestry waste","biochar","1"
"ERO_1569","biochar production from scottish forestry waste","biochar","1"
"ERO_1570","exploring the chemical space of biochar materials through a gpu-accelerated iterative structure search","biochar","1"
"ERO_1571","biochar as a ggr - the road to demonstration and beyond","biochar","1"
"ERO_1572","decoding biochar-microbial interactions for microbial electrochemical technology","biochar","1"
"ERO_1573","biochar in forestry","biochar","1"
"ERO_1574","bio-waste to biochar for the enhanced remediation of contaminated land (bio2char)","biochar","1"
"ERO_1575","bacterial-enhanced biochar: engineering a flexible approach to targeted environmental remediation","biochar","1"
"ERO_1576","bacterial-enhanced biochar: engineering a flexible approach to targeted environmental remediation","biochar","1"
"ERO_1577","a circular economy approach towards water purification with concomitant biooil production through yeast-algal biorefinery and tailor-made biochar","biochar","1"
"ERO_1578","production and characterization of biochar from food and waste prod.","biochar","1"
"ERO_1579","enteric methane-reducing biochar feed additives","biochar","1"
"ERO_1580","pre-incubated biochars for upgrading of anaerobic digestion","biochar","1"
"ERO_1150","catalysis for compatibilizers: upcycling plastic waste into value-added materials","upcycling","1"
"ERO_1581","engineering escherichia coli for plastic upcycling","upcycling","1"
"ERO_1582","catalysis for compatibilizers: upcycling plastic waste into value-added materials","upcycling","1"
"ERO_59","natural climate variability in the last millennium: disentangling the causes and effects of regional climate change.","climate variability","1"
"ERO_1583","integrating climate variability and change into marine protected area (mpa) design: global analysis with case studies in madagascar and mexico","climate variability","1"
"ERO_1584","missing climate variability and its implication for future change","climate variability","1"
"ERO_1585","natural climate variability: understanding the past to inform the future.","climate variability","1"
"ERO_1586","natural climate variability in the last millennium: disentangling the causes and effects of regional climate change.","climate variability","1"
"ERO_1173","metabolic engineering of yarrowia lipolytica to produce an advanced biofuel from cellulose and plant wastes","biofuel","1"
"ERO_1587","high-throughput engineering of rhodosporidium toruloides under industrial-scale bioprocessing conditions for the biosynthesis of jet-biofuel","biofuel","1"
"ERO_1588","phytofuel: optimization of biofuel production from phytoremediation of contaminated soil","biofuel","1"
"ERO_1589","metabolic engineering of yarrowia lipolytica to produce an advanced biofuel from cellulose and plant wastes","biofuel","1"
"ERO_1590","pressure induced chemical reactions in biofuel","biofuel","1"
"ERO_1591","integrated plasma catalytic processes for hydrogn-free upgrading of biomass-derived biofuels to hydrocarbon fuels","biofuel","1"
"ERO_591","industrial secondment for tank testing of optimised wave energy converters","wave energy","1"
"ERO_1275","swave: sustainable wave energy in the mediterranean nearshore","wave energy","1"
"ERO_1329","sustainable wave energy in the mediterranean nearshore","wave energy","1"
"ERO_1592","dielectric fluid generators enabling wave energy with industrial scale manufacture","wave energy","1"
"ERO_1593","whole-system reliability-based optimisation of wave energy converters (systrelo)","wave energy","1"
"ERO_1594","tbd v venugopal epsrc marine wave energy (newcastle)","wave energy","1"
"ERO_1595","tbd h jeffrey epsrc marine wave energy","wave energy","1"
"ERO_1596","industrial secondment for tank testing of optimised wave energy converters","wave energy","1"
"ERO_1597","holistic advanced prototyping and interfacing for wave energy control","wave energy","1"
"ERO_1598","new generation modelling suite for the survivability of wave energy convertors in marine environments (wave-suite)","wave energy","1"
"ERO_1599","development of a dfig-based pto for wave energy harvesting (free)","wave energy","1"
"ERO_1600","swave: sustainable wave energy in the mediterranean nearshore","wave energy","1"
"ERO_1601","wavemode: high-fidelity wave energy resource modelling and forecasting for potential uk sites","wave energy","1"
"ERO_1602","innovative engineering design for wave energy","wave energy","1"
"ERO_1603","geometric optimisation of wave energy converters (wecs)","wave energy","1"
"ERO_1604","investigation of alternative generation technologies for wave energy","wave energy","1"
"ERO_1605","weetics: wave energy enhancement through innovative control system","wave energy","1"
"ERO_1606","optimisation of wave energy converters: a joint geometry and energy-maximising control approach","wave energy","1"
"ERO_1607","sustainable wave energy in the mediterranean nearshore","wave energy","1"
"ERO_1608","proposal to oceaneering for the provision of external support from university of edinburgh to wp09 (commercialisation & lcoe modelling)of the pecmag stage 3 wave energy scotland pto project","wave energy","1"
"ERO_1609","windwave: innovative cost efficient hybrid offshore energy system for wind and wave energy production","wave energy","1"
"ERO_1610","latching control and linear generator applied to wave energy converter","wave energy","1"
"ERO_1611","architecture and control of for all electric power take off (pto) for wave energy converters (wecs)","wave energy","1"
"ERO_1612","accelerating cost reduction of a novel high performance electro-mechanical generator for wave energy convertors","wave energy","1"
